Date,Price,Open,High,Low,Vol.,Change %
12/28/2021,"1,523.54","1,518.56","1,523.54","1,509.58",189.42K,0.59%
12/27/2021,"1,514.55","1,515.24","1,517.45","1,500.31",134.57K,0.52%
12/24/2021,"1,506.67","1,484.51","1,507.48","1,481.37",197.96K,1.98%
12/23/2021,"1,477.37","1,504.61","1,506.43","1,470.94",241.49K,-1.78%
12/22/2021,"1,504.12","1,514.98","1,519.74","1,498.96",220.18K,-0.49%
12/21/2021,"1,511.48","1,512.01","1,517.69","1,507.89",175.78K,-0.14%
12/20/2021,"1,513.60","1,519.69","1,521.62","1,509.54",180.13K,0.00%
12/17/2021,"1,513.56","1,513.36","1,520.97","1,511.19",220.35K,0.22%
12/16/2021,"1,510.17","1,526.63","1,526.75","1,501.41",187.58K,-0.61%
12/15/2021,"1,519.42","1,516.91","1,525.14","1,512.05",150.69K,0.20%
12/14/2021,"1,516.44","1,518.39","1,529.93","1,513.14",170.67K,-0.29%
12/13/2021,"1,520.80","1,523.74","1,526.53","1,517.98",166.21K,0.09%
12/10/2021,"1,519.46","1,528.17","1,533.23","1,517.59",172.57K,-0.66%
12/09/2021,"1,529.61","1,509.40","1,529.61","1,509.40",141.32K,0.89%
12/08/2021,"1,516.16","1,515.59","1,523.95","1,508.69",176.05K,0.23%
12/07/2021,"1,512.62","1,493.07","1,512.62","1,488.13",167.56K,2.14%
12/06/2021,"1,480.92","1,507.45","1,515.47","1,464.91",264.31K,-1.53%
12/03/2021,"1,503.98","1,550.81","1,551.97","1,503.98",237.84K,-2.39%
12/02/2021,"1,540.88","1,553.21","1,555.49","1,540.88",155.69K,-0.58%
12/01/2021,"1,549.81","1,536.67","1,549.81","1,531.20",183.02K,0.79%
11/30/2021,"1,537.59","1,567.44","1,568.09","1,531.82",254.25K,-0.99%
11/29/2021,"1,553.04","1,541.22","1,558.86","1,541.22",270.84K,-0.86%
11/26/2021,"1,566.55","1,576.52","1,587.00","1,564.39",286.51K,-0.38%
11/25/2021,"1,572.46","1,573.29","1,579.56","1,567.67",255.69K,0.46%
11/24/2021,"1,565.29","1,534.87","1,567.77","1,530.61",371.79K,2.10%
11/23/2021,"1,533.12","1,518.39","1,533.12","1,513.23",173.03K,1.06%
11/22/2021,"1,517.04","1,503.19","1,530.43","1,502.25",274.79K,1.13%
11/19/2021,"1,500.05","1,507.45","1,521.63","1,486.59",322.63K,-0.22%
